id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Laura;Jacobs;Jay29@yahoo.com;summarize firsthand;2023-12-02T20:14:50;288;7814
2;Parker;Fay;Trystan25@hotmail.com;accommodate hence old;2023-12-02T09:03:07;17058;22998
3;Johan;Haag;Bernie_Feil@yahoo.com;whenever imbue;2023-12-02T08:29:04;14504;12269
4;Braeden;Crona;Flo.Little10@gmail.com;daily naturally;2023-12-02T09:05:05;21002;22071
5;Opal;Volkman;Macey.Prosacco66@yahoo.com;near gladly;2023-12-02T01:18:29;23932;27074
6;Arch;Williamson;Noemy_Pacocha93@hotmail.com;till even;2023-12-02T10:43:55;29245;25902
7;Raoul;Gislason;Anna.Morissette56@gmail.com;ew even;2023-12-02T03:27:35;23738;19579
8;Adella;Hills;Jess89@gmail.com;so;2023-12-02T17:42:39;18335;27202
9;Gussie;Kautzer;Reymundo_Skiles@hotmail.com;gadzooks descriptive ha;2023-12-02T03:08:05;20025;4588
10;Cydney;Champlin;Verona94@yahoo.com;at imaginary;2023-12-02T13:27:01;19787;21608
